GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mediainfo-jna-wrapper,com.amilesend.mediainfo.type,StreamType,0,45,0,0,0,8,0,1,0,1
mediainfo-jna-wrapper,com.amilesend.mediainfo.type,Status,0,38,0,0,0,6,0,1,0,1
mediainfo-jna-wrapper,com.amilesend.mediainfo.type,InfoType,0,57,0,0,0,10,0,1,0,1
mediainfo-jna-wrapper,com.amilesend.mediainfo.lib,MediaInfoAccessor,2,488,2,38,0,105,2,39,0,21
mediainfo-jna-wrapper,com.amilesend.mediainfo.lib,MediaInfoException,6,40,3,2,3,16,3,2,0,2
mediainfo-jna-wrapper,com.amilesend.mediainfo.lib,MediaInfoLibrary,2,102,1,1,0,18,1,3,0,3
mediainfo-jna-wrapper,com.amilesend.mediainfo.util,Validate,39,25,8,6,12,8,7,5,3,2
mediainfo-jna-wrapper,com.amilesend.mediainfo.util,StringUtils,0,34,0,10,0,8,0,7,0,2
mediainfo-jna-wrapper,com.amilesend.mediainfo,MediaInfo,0,69,0,0,0,12,0,11,0,11
mediainfo-jna-wrapper,com.amilesend.mediainfo,MediaInfoBase,0,211,1,29,0,58,1,22,0,8
