GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
omdb-java-client,com.amilesend.omdb.client.parse.adapters,MediaTypeTypeAdapter,0,29,0,0,0,7,0,4,0,4
omdb-java-client,com.amilesend.omdb.client.parse.adapters,StringTypeAdaptor,0,22,0,6,0,7,0,5,0,2
omdb-java-client,com.amilesend.omdb.client.parse.adapters,LocalDateTypeAdapter,0,57,0,6,0,16,0,7,0,4
omdb-java-client,com.amilesend.omdb.client.model.type,MediaType,3,40,0,0,1,7,1,2,1,2
omdb-java-client,com.amilesend.omdb.client.model.type,TypeHelper,0,20,0,2,0,7,0,3,0,2
omdb-java-client,com.amilesend.omdb.client.model.type,MediaBase,0,64,0,0,0,18,0,11,0,11
omdb-java-client,com.amilesend.omdb.client.model.type,Plot,0,20,0,0,0,4,0,2,0,2
omdb-java-client,com.amilesend.omdb.client.model.type,SearchResponse,0,19,0,0,0,5,0,2,0,2
omdb-java-client,com.amilesend.omdb.client.model.tv.type,SeasonEpisode,0,22,0,0,0,8,0,2,0,2
omdb-java-client,com.amilesend.omdb.client.model.tv.type,Episode,0,22,0,0,0,8,0,2,0,2
omdb-java-client,com.amilesend.omdb.client.model.tv.type,Series,0,11,0,0,0,4,0,1,0,1
omdb-java-client,com.amilesend.omdb.client.model.tv.type,Season,0,26,0,0,0,9,0,3,0,3
omdb-java-client,com.amilesend.omdb.client,OMDb,46,114,0,0,13,24,3,9,3,9
omdb-java-client,com.amilesend.omdb.client.model.movie,GetMovieByIdRequest,0,14,0,0,0,3,0,1,0,1
omdb-java-client,com.amilesend.omdb.client.model.movie,GetMovieByTitleRequest,0,14,0,0,0,3,0,1,0,1
omdb-java-client,com.amilesend.omdb.client.model.movie,SearchMovieRequest,0,14,0,0,0,3,0,1,0,1
omdb-java-client,com.amilesend.omdb.client.model.tv,GetSeriesByTitleRequest,0,14,0,0,0,4,0,1,0,1
omdb-java-client,com.amilesend.omdb.client.model.tv,GetSeasonByIdRequest,0,29,0,2,0,6,0,2,0,1
omdb-java-client,com.amilesend.omdb.client.model.tv,GetSeasonByTitleRequest,0,29,0,2,0,6,0,2,0,1
omdb-java-client,com.amilesend.omdb.client.model.tv,SearchSeriesRequest,0,14,0,0,0,4,0,1,0,1
omdb-java-client,com.amilesend.omdb.client.model.tv,GetSeriesByIdRequest,0,14,0,0,0,4,0,1,0,1
omdb-java-client,com.amilesend.omdb.client.model.tv,GetEpisodeByTitleRequest,0,44,0,4,0,8,0,3,0,1
omdb-java-client,com.amilesend.omdb.client.model.tv,GetEpisodeByIdRequest,0,44,0,4,0,8,0,3,0,1
omdb-java-client,com.amilesend.omdb.client.parse,GsonFactory,0,37,0,0,0,7,0,2,0,2
omdb-java-client,com.amilesend.omdb.client.model,FailureResponse,0,13,0,0,0,5,0,1,0,1
omdb-java-client,com.amilesend.omdb.client.model,QueryParameterBasedRequest,0,25,1,3,0,6,1,3,0,2
omdb-java-client,com.amilesend.omdb.client.model,GetByTitleRequestBase,0,33,0,0,0,6,0,1,0,1
omdb-java-client,com.amilesend.omdb.client.model,SearchRequestBase,0,33,0,0,0,6,0,1,0,1
omdb-java-client,com.amilesend.omdb.client.model,GetByIdRequestBase,0,27,0,0,0,5,0,1,0,1
omdb-java-client,com.amilesend.omdb.client.connection,OmdbConnection,24,73,2,2,5,15,2,3,0,3
omdb-java-client,com.amilesend.omdb.client.connection,OmdbConnectionBuilder,0,37,0,0,0,11,0,2,0,2
