GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
onedrive-java-sdk,com.amilesend.onedrive.resource.site,List,0,189,6,16,0,47,6,10,0,5
onedrive-java-sdk,com.amilesend.onedrive.resource.site,ListItemVersion,0,50,0,2,0,16,0,2,0,1
onedrive-java-sdk,com.amilesend.onedrive.resource.site,SiteCollection,0,67,0,14,0,10,0,10,0,3
onedrive-java-sdk,com.amilesend.onedrive.resource.site,Site,0,194,6,16,0,49,6,10,0,5
onedrive-java-sdk,com.amilesend.onedrive.resource.site,ListItem,0,259,0,6,0,79,0,13,0,10
onedrive-java-sdk,com.amilesend.onedrive.parse.resource.creator,DriveInstanceCreator,0,6,0,0,0,1,0,1,0,1
onedrive-java-sdk,com.amilesend.onedrive.parse.resource.creator,ListItemVersionInstanceCreator,0,6,0,0,0,1,0,1,0,1
onedrive-java-sdk,com.amilesend.onedrive.parse.resource.creator,ListItemInstanceCreator,0,6,0,0,0,1,0,1,0,1
onedrive-java-sdk,com.amilesend.onedrive.parse.resource.creator,DriveItemVersionInstanceCreator,0,6,0,0,0,1,0,1,0,1
onedrive-java-sdk,com.amilesend.onedrive.parse.resource.creator,DriveItemInstanceCreator,0,6,0,0,0,1,0,1,0,1
onedrive-java-sdk,com.amilesend.onedrive.parse.resource.creator,SiteInstanceCreator,0,6,0,0,0,1,0,1,0,1
onedrive-java-sdk,com.amilesend.onedrive.parse.resource.creator,SpecialDriveItemInstanceCreator,0,7,0,0,0,1,0,1,0,1
onedrive-java-sdk,com.amilesend.onedrive.parse.resource.creator,PermissionInstanceCreator,0,6,0,0,0,1,0,1,0,1
onedrive-java-sdk,com.amilesend.onedrive.resource,ResourceHelper,0,14,0,8,0,5,0,5,0,1
onedrive-java-sdk,com.amilesend.onedrive.resource,DriveFileUploadExecution,0,8,0,0,0,1,0,1,0,1
