GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tvmaze-java-client,com.amilesend.tvmaze.client.api,EpisodesApi,7,85,1,1,1,19,1,5,0,5
tvmaze-java-client,com.amilesend.tvmaze.client.api,SearchApi,10,150,3,3,1,40,3,9,0,9
tvmaze-java-client,com.amilesend.tvmaze.client.api,ScheduleApi,1,128,2,2,0,30,2,9,0,9
tvmaze-java-client,com.amilesend.tvmaze.client.api,UpdatesApi,0,69,1,1,0,17,1,4,0,4
tvmaze-java-client,com.amilesend.tvmaze.client.api,UpdatesApi.Since,0,24,0,0,0,4,0,1,0,1
tvmaze-java-client,com.amilesend.tvmaze.client.api,ApiBase,2,97,3,9,0,23,3,9,0,6
tvmaze-java-client,com.amilesend.tvmaze.client.api,ShowsApi,26,421,5,5,3,101,5,22,0,22
tvmaze-java-client,com.amilesend.tvmaze.client.api,PeopleApi,28,164,4,4,4,35,4,10,0,10
tvmaze-java-client,com.amilesend.tvmaze.client.api,SearchApi.ShowLookupIdType,0,24,0,0,0,4,0,1,0,1
tvmaze-java-client,com.amilesend.tvmaze.client,TvMaze,36,36,0,0,10,6,1,6,1,6
tvmaze-java-client,com.amilesend.tvmaze.client.model,CastCredit.EmbeddedType,0,11,0,0,0,2,0,1,0,1
tvmaze-java-client,com.amilesend.tvmaze.client.model,AlternateList.EmbeddedType,0,11,0,0,0,2,0,1,0,1
tvmaze-java-client,com.amilesend.tvmaze.client.model,Show,10,102,3,7,3,26,3,12,0,10
tvmaze-java-client,com.amilesend.tvmaze.client.model,Resource,15,21,4,4,3,4,5,1,1,1
tvmaze-java-client,com.amilesend.tvmaze.client.model,Episode,18,0,0,0,6,0,2,0,2,0
tvmaze-java-client,com.amilesend.tvmaze.client.model,Person,0,9,0,0,0,3,0,1,0,1
tvmaze-java-client,com.amilesend.tvmaze.client.model,AlternateList,0,22,0,0,0,7,0,3,0,3
tvmaze-java-client,com.amilesend.tvmaze.client.model,CrewCredit.EmbeddedType,0,6,0,0,0,1,0,1,0,1
tvmaze-java-client,com.amilesend.tvmaze.client.model,CastCredit,0,18,0,0,0,6,0,2,0,2
tvmaze-java-client,com.amilesend.tvmaze.client.model,AlternateEpisode.EmbeddedType,6,0,0,0,1,0,1,0,1,0
tvmaze-java-client,com.amilesend.tvmaze.client.model,Person.EmbeddedType,0,6,0,0,0,1,0,1,0,1
tvmaze-java-client,com.amilesend.tvmaze.client.model,Episode.EmbeddedType,0,11,0,0,0,2,0,1,0,1
tvmaze-java-client,com.amilesend.tvmaze.client.model,Show.EmbeddedType,0,21,0,0,0,4,0,1,0,1
tvmaze-java-client,com.amilesend.tvmaze.client.model,CrewCredit,0,9,0,0,0,3,0,1,0,1
tvmaze-java-client,com.amilesend.tvmaze.client.model,AlternateEpisode,0,9,0,0,0,3,0,1,0,1
tvmaze-java-client,com.amilesend.tvmaze.client.parse,GsonFactory,0,17,0,0,0,3,0,1,0,1
tvmaze-java-client,com.amilesend.tvmaze.client.parse.adapters,LocalTimeTypeAdapter,17,18,1,1,4,5,3,3,2,3
tvmaze-java-client,com.amilesend.tvmaze.client.parse.adapters,LocalDateTimeTypeAdapter,17,13,1,1,4,4,3,2,2,2
tvmaze-java-client,com.amilesend.tvmaze.client.parse.adapters,LocalDateTypeAdapter,17,17,1,1,4,5,3,3,2,3
